Latitude,Longitude,Time,Fire_Present,Fire_Temperature,Rate_of_Spread,Wind_Direction,Wind_Speed,Humidity,Atmospheric_Temperature,Precipitation
-33.9461,18.39881,2025-09-23T06:15:00Z,1,705,25.74,153,23.5,27.2,20.0,0.0
-33.9407,18.3994,2025-09-23T06:15:00Z,1,852,28.25,176,30.8,35.6,17.9,0.0
-33.93807,18.42399,2025-09-23T06:15:00Z,1,613,7.65,111,21.2,28.1,18.4,0.0
-33.96921,18.4124,2025-09-23T06:15:00Z,1,839,19.46,133,15.2,21.8,19.6,0.0
-33.95581,18.40344,2025-09-23T06:15:00Z,0,0,0,148,36.4,29.7,17.3,0.0
-33.96204,18.4182,2025-09-23T06:15:00Z,0,0,0,110,32.7,15.7,25.2,0.0
-33.95009,18.43426,2025-09-23T06:15:00Z,0,0,0,134,12.4,35.9,27.1,0.0
-33.94462,18.39483,2025-09-23T06:15:00Z,0,0,0,170,20.1,33.2,18.1,0.0
-33.93909,18.40816,2025-09-23T06:15:00Z,0,0,0,93,33.7,33.1,24.4,0.0
-33.95836,18.40763,2025-09-23T06:15:00Z,0,0,0,167,32.2,26.0,26.3,0.0
-33.94541,18.39392,2025-09-23T06:15:00Z,0,0,0,144,38.2,36.7,24.5,0.0
-33.94186,18.41445,2025-09-23T06:15:00Z,0,0,0,167,22.6,31.3,17.3,0.0
-33.9469,18.41414,2025-09-23T06:15:00Z,0,0,0,145,29.6,18.3,27.6,0.0
-33.95248,18.41088,2025-09-23T06:15:00Z,0,0,0,180,17.7,22.0,26.1,0.14
-33.9757,18.41556,2025-09-23T06:15:00Z,0,0,0,162,34.8,34.7,21.8,0.49
-33.95637,18.3965,2025-09-23T06:15:00Z,0,0,0,138,22.0,35.7,22.8,0.0
-33.96469,18.41277,2025-09-23T06:15:00Z,0,0,0,154,14.9,22.5,24.8,0.0
-33.95383,18.42046,2025-09-23T06:15:00Z,0,0,0,142,36.3,16.5,22.5,0.3
-33.96143,18.40421,2025-09-23T06:15:00Z,0,0,0,107,10.1,24.4,25.9,0.0
-33.97645,18.42233,2025-09-23T06:15:00Z,0,0,0,119,38.3,34.4,20.1,0.0
-33.97312,18.39259,2025-09-23T06:15:00Z,0,0,0,119,38.0,35.0,25.8,0.1
-33.95414,18.43059,2025-09-23T06:15:00Z,0,0,0,122,37.3,26.5,19.2,0.0
-33.94073,18.40354,2025-09-23T06:15:00Z,0,0,0,147,11.5,17.8,26.5,0.0
-33.97245,18.4194,2025-09-23T06:15:00Z,0,0,0,147,21.7,21.0,19.9,0.0
-33.97452,18.39525,2025-09-23T06:15:00Z,0,0,0,126,37.5,35.9,25.5,0.0
-33.96153,18.42604,2025-09-23T06:15:00Z,0,0,0,125,24.9,27.4,26.3,0.0
-33.97512,18.43207,2025-09-23T06:15:00Z,1,787,27.86,140,13.3,24.2,21.4,0.0
-33.94338,18.41391,2025-09-23T06:15:00Z,1,861,27.3,138,25.9,36.2,18.1,0.0
-33.95735,18.41803,2025-09-23T06:15:00Z,1,881,28.85,157,31.6,29.4,22.2,0.0
-33.96588,18.41152,2025-09-23T06:15:00Z,1,894,20.68,177,17.9,26.9,18.1,0.0
-33.95106,18.43259,2025-09-23T06:15:00Z,1,750,15.09,170,22.0,25.9,22.7,0.0
-33.93769,18.40702,2025-09-23T06:15:00Z,1,744,12.2,91,17.1,29.7,18.8,0.0
-33.94744,18.40314,2025-09-23T06:15:00Z,0,0,0,166,28.0,15.4,26.7,0.0
-33.95293,18.39256,2025-09-23T06:15:00Z,0,0,0,95,33.7,26.2,23.4,0.0
-33.93782,18.39912,2025-09-23T06:15:00Z,0,0,0,147,15.3,27.2,22.0,0.0
-33.93997,18.40714,2025-09-23T06:15:00Z,0,0,0,129,29.5,32.2,16.3,0.1
-33.94275,18.39669,2025-09-23T06:15:00Z,0,0,0,121,23.2,15.5,20.7,0.0
-33.96843,18.41787,2025-09-23T06:15:00Z,0,0,0,130,21.5,35.8,18.7,0.0
-33.9508,18.4157,2025-09-23T06:15:00Z,0,0,0,97,31.1,30.1,22.6,0.0
-33.97403,18.4059,2025-09-23T06:15:00Z,0,0,0,157,37.3,28.6,19.0,0.0
-33.97244,18.42398,2025-09-23T06:15:00Z,0,0,0,122,11.4,38.7,24.5,0.0
-33.96431,18.41175,2025-09-23T06:15:00Z,0,0,0,125,17.5,31.4,26.3,0.0
-33.95156,18.42038,2025-09-23T06:15:00Z,0,0,0,133,33.4,32.0,17.0,0.49
-33.97309,18.40797,2025-09-23T06:15:00Z,0,0,0,110,15.9,20.4,25.7,0.0
-33.95746,18.39223,2025-09-23T06:15:00Z,0,0,0,131,15.8,15.1,25.8,0.0
-33.95588,18.42407,2025-09-23T06:15:00Z,0,0,0,106,12.6,37.6,25.3,0.0
-33.95765,18.41449,2025-09-23T06:15:00Z,0,0,0,160,35.8,35.3,23.8,0.0
-33.96061,18.41545,2025-09-23T06:15:00Z,0,0,0,139,31.6,29.0,23.2,0.0
